32768,32768
33792,40960
34816,36864
35840,36864
36864,36864
37888,40960
38912,40960
39936,40960
40960,40960
41984,45056
43008,45056
44032,45056
45056,45056
46080,49152
47104,49152
48128,49152
49152,49152
50176,53248
51200,53248
52224,53248
53248,53248
54272,57344
55296,65536
56320,57344
57344,57344
58368,61440
59392,61440
60416,61440
61440,61440
62464,65536
63488,65536
64512,65536
65536,65536
66560,69632
67584,69632
68608,69632
69632,69632
70656,73728
71680,73728
72704,73728
73728,73728
74752,77824
75776,77824
76800,94208
77824,77824
78848,81920
79872,81920
80896,81920
81920,81920
82944,86016
83968,86016
84992,86016
86016,86016
87040,90112
88064,90112
89088,90112
90112,90112
91136,94208
92160,94208
93184,94208
94208,94208
95232,98304
96256,98304
97280,98304
98304,98304
99328,102400
100352,102400
101376,102400
102400,102400
103424,106496
104448,106496
105472,106496
106496,106496
107520,110592
108544,110592
109568,110592
110592,110592
111616,114688
112640,114688
113664,114688
114688,114688
115712,118784
116736,118784
117760,118784
118784,118784
119808,122880
120832,122880
121856,122880
122880,122880
123904,126976
124928,126976
125952,126976
126976,126976
128000,131072
129024,131072
130048,131072
131072,131072
